Incident_ID;Agency;Offense;Street;City;State;Zipcode;Forcible;Date_of_Report;Hour_of_Report;Date_of_Occurrence;Hour_of_Occurrence;Date_Found;Hour_Found;Reported_As;Premise_Description;Weapon_Description;Victim_Age;Victim_Race;Victim_Gender;Latitude;Longitude;geo_point_2d
164841;CHPD;SON KIDNAPPING;1471 MARTIN LUTHER KING JR BLVD;CHAPEL HILL;NC;27516;N;2018-11-12;5:59:00 PM;2018-11-12;5:30:00 PM;2018-11-12;5:59:00 PM;ABDUCTION/KIDNAPPING;HOME OF VICTIM - OTHER DWELLING;;37;B;M;35.95702107;-79.05777463;35.95702107,-79.05777463
145330;CHPD;SON KIDNAPPING;108 MAXWELL RD;CHAPEL HILL;NC;27517;N;2017-06-09;8:34:00 PM;2017-06-09;8:30:00 PM;2017-06-09;8:30:00 PM;ABDUCTION/KIDNAPPING;HOME OF VICTIM - SINGLE FAMILY;;;B;F;35.91286914;-79.02417883;35.91286914,-79.02417883
160996;CHPD;DAUGHTER KIDNAPPING;401 KILDAIRE RD;CHAPEL HILL;NC;27516;;2018-08-01;12:43:00 PM;2018-08-01;12:15:00 PM;2018-08-01;12:25:00 PM;ABDUCTION/KIDNAPPING;SCHOOL/COLLEGE;;;;;35.879773;-79.066399;35.879773,-79.066399
126453;CHPD;DAUGHTER KIDNAPPING;620 MARKET ST;CHAPEL HILL;NC;27516;N;2016-04-16;9:01:00 AM;2016-04-16;9:01:00 AM;2016-04-16;9:01:00 AM;ABDUCTION/KIDNAPPING;PARKING LOT/AREA;;;W;M;35.88089242;-79.06620666;35.88089242,-79.06620666
166633;CHPD;DAUGHTER KIDNAPPING;857 MARTIN LUTHER KING JR BLVD;CHAPEL HILL;NC;27516;;2019-01-09;6:28:00 PM;2019-01-09;6:00:00 PM;2019-01-09;6:00:00 PM;ABDUCTION/KIDNAPPING;;;;B;F;35.92809055;-79.05478853;35.92809055,-79.05478853
166234;CHPD;KIDNAPPING;106 ASHLEY FOREST RD;CHAPEL HILL;NC;27514;;2018-12-25;6:12:00 PM;2018-12-25;6:12:00 PM;2018-12-25;6:12:00 PM;ABDUCTION/KIDNAPPING;;;30;B;M;35.94376417;-79.05703468;35.94376417,-79.05703468
142451;CHPD;KIDNAPPING;351 S ESTES DR EXT;CHAPEL HILL;NC;27514;N;2017-04-02;9:59:00 PM;2017-04-02;9:54:00 PM;2017-04-02;9:59:00 PM;ABDUCTION/KIDNAPPING;HOME OF VICTIM - OTHER DWELLING;;;A;F;35.924535;-79.0224165;35.924535,-79.0224165
146169;CHPD;KIDNAPPING;101 RAIN TREE LN;CHAPEL HILL;NC;27516;;2017-07-02;10:15:00 AM;2017-07-02;10:14:00 AM;2017-07-02;10:15:00 AM;ABDUCTION/KIDNAPPING;OTHER RESIDENCE - SINGLE FAMILY DWELLING;;;;;35.90474485;-79.06412463;35.90474485,-79.06412463
130782;CHPD;KIDNAPPED;1100 NC 54;CHAPEL HILL;NC;27516;N;2016-07-20;8:40:00 PM;2016-07-20;8:20:00 PM;2016-07-20;8:30:00 PM;ABDUCTION/KIDNAPPING;HOME OF VICTIM - OTHER DWELLING;;;;;35.89950383;-79.06806249;35.89950383,-79.06806249
114552;CHPD;KIDNAPPED;506 W FRANKLIN ST;CHAPEL HILL;NC;27516;;2015-07-24;10:05:00 PM;2015-07-24;10:05:00 PM;2015-07-24;10:05:00 PM;ABDUCTION/KIDNAPPING;HIGHWAY/ROAD/STREET  ETC.;;54;;;35.91017478;-79.06354602;35.91017478,-79.06354602
146745;CHPD;KIDNAPPING;600  GOMAINS AVE;CHAPEL HILL;NC;27514;Y;2017-07-15;3:15:00 PM;2017-07-15;2:00:00 PM;2017-07-15;3:15:00 PM;ABDUCTION/KIDNAPPING;HIGHWAY/ROAD/STREET  ETC.;;;B;M;35.915931;-79.064955;35.915931,-79.064955
126491;CHPD;KIDNAPPED;216 W FRANKLIN ST/MALLETTE ST;CHAPEL HILL;NC;27516;;2016-04-17;3:31:00 PM;2016-04-17;3:21:00 PM;2016-04-17;3:21:00 PM;ABDUCTION/KIDNAPPING;HIGHWAY/ROAD/STREET  ETC.;;;W;F;35.91174821;-79.05950502;35.91174821,-79.05950502
166234;CHPD;KIDNAPPED BY SUSPICIOUS PERSON;106 ASHLEY FOREST RD;CHAPEL HILL;NC;27514;;2018-12-25;6:12:00 PM;2018-12-25;6:12:00 PM;2018-12-25;6:12:00 PM;ABDUCTION/KIDNAPPING;;;;;;;;
142451;CHPD;KIDNAPPED BY SUSPICIOUS PERSON;351 S ESTES DR EXT;CHAPEL HILL;NC;27514;N;2017-04-02;9:59:00 PM;2017-04-02;9:54:00 PM;2017-04-02;9:59:00 PM;ABDUCTION/KIDNAPPING;HOME OF VICTIM - OTHER DWELLING;;;;;;;
146169;CHPD;KIDNAPPED BY SUSPICIOUS PERSON;101 RAIN TREE LN;CHAPEL HILL;NC;27516;;2017-07-02;10:15:00 AM;2017-07-02;10:14:00 AM;2017-07-02;10:15:00 AM;ABDUCTION/KIDNAPPING;OTHER RESIDENCE - SINGLE FAMILY DWELLING;;;;;;;
130782;CHPD;CHILD KIDNAPPING;1100 NC 54;CHAPEL HILL;NC;27516;N;2016-07-20;8:40:00 PM;2016-07-20;8:20:00 PM;2016-07-20;8:30:00 PM;ABDUCTION/KIDNAPPING;HOME OF VICTIM - OTHER DWELLING;;;;;;;
114552;CHPD;CHILD KIDNAPPING;506 W FRANKLIN ST;CHAPEL HILL;NC;27516;;2015-07-24;10:05:00 PM;2015-07-24;10:05:00 PM;2015-07-24;10:05:00 PM;ABDUCTION/KIDNAPPING;HIGHWAY/ROAD/STREET  ETC.;;;;;;;
146745;CHPD;KIDNAPPING;600  GOMAINS AVE;CHAPEL HILL;NC;27514;Y;2017-07-15;3:15:00 PM;2017-07-15;2:00:00 PM;2017-07-15;3:15:00 PM;ABDUCTION/KIDNAPPING;HIGHWAY/ROAD/STREET  ETC.;;;;;;;
126491;CHPD;KIDNAPPED;216 W FRANKLIN ST/MALLETTE ST;CHAPEL HILL;NC;27516;;2016-04-17;3:31:00 PM;2016-04-17;3:21:00 PM;2016-04-17;3:21:00 PM;ABDUCTION/KIDNAPPING;HIGHWAY/ROAD/STREET  ETC.;;;;;;;
146046;CHPD;ABDUCTION;130 S ESTES DR;CHAPEL HILL;NC;27514;N;2017-06-29;12:16:00 PM;2017-06-29;10:00:00 AM;2017-06-29;10:00:00 AM;ABDUCTION/KIDNAPPING;HOME OF VICTIM - OTHER DWELLING;;33;B;F;35.92756257;-79.03026422;35.92756257,-79.03026422
175230;CHPD;ABDUCTED;XX;CHAPEL HILL;NC;27514;;2019-10-03;6:40:00 PM;2019-10-03;6:35:00 PM;2019-10-03;6:40:00 PM;ABDUCTION/KIDNAPPING;;;;B;M;;;
166234;CHPD;ABDUCTION;106 ASHLEY FOREST RD;CHAPEL HILL;NC;27514;;2018-12-25;6:12:00 PM;2018-12-25;6:12:00 PM;2018-12-25;6:12:00 PM;ABDUCTION/KIDNAPPING;;;30;B;M;35.94376417;-79.05703468;35.94376417,-79.05703468
142451;CHPD;ABDUCTION;351 S ESTES DR EXT;CHAPEL HILL;NC;27514;N;2017-04-02;9:59:00 PM;2017-04-02;9:54:00 PM;2017-04-02;9:59:00 PM;ABDUCTION/KIDNAPPING;HOME OF VICTIM - OTHER DWELLING;;;A;F;35.924535;-79.0224165;35.924535,-79.0224165
146169;CHPD;ABDUCTION;101 RAIN TREE LN;CHAPEL HILL;NC;27516;;2017-07-02;10:15:00 AM;2017-07-02;10:14:00 AM;2017-07-02;10:15:00 AM;ABDUCTION/KIDNAPPING;OTHER RESIDENCE - SINGLE FAMILY DWELLING;;;;;35.90474485;-79.06412463;35.90474485,-79.06412463
130782;CHPD;ABDUCTION;1100 NC 54;CHAPEL HILL;NC;27516;N;2016-07-20;8:40:00 PM;2016-07-20;8:20:00 PM;2016-07-20;8:30:00 PM;ABDUCTION/KIDNAPPING;HOME OF VICTIM - OTHER DWELLING;;;;;35.89950383;-79.06806249;35.89950383,-79.06806249
114552;CHPD;ABDUCTED;506 W FRANKLIN ST;CHAPEL HILL;NC;27516;;2015-07-24;10:05:00 PM;2015-07-24;10:05:00 PM;2015-07-24;10:05:00 PM;ABDUCTION/KIDNAPPING;HIGHWAY/ROAD/STREET  ETC.;;54;;;35.91017478;-79.06354602;35.91017478,-79.06354602
146745;CHPD;ABDUCTED;600  GOMAINS AVE;CHAPEL HILL;NC;27514;Y;2017-07-15;3:15:00 PM;2017-07-15;2:00:00 PM;2017-07-15;3:15:00 PM;ABDUCTION/KIDNAPPING;HIGHWAY/ROAD/STREET  ETC.;;;B;M;35.915931;-79.064955;35.915931,-79.064955
126491;CHPD;ABDUCTED;216 W FRANKLIN ST/MALLETTE ST;CHAPEL HILL;NC;27516;;2016-04-17;3:31:00 PM;2016-04-17;3:21:00 PM;2016-04-17;3:21:00 PM;ABDUCTION/KIDNAPPING;HIGHWAY/ROAD/STREET  ETC.;;;W;F;35.91174821;-79.05950502;35.91174821,-79.05950502
166234;CHPD;CHILD ABDUCTED;106 ASHLEY FOREST RD;CHAPEL HILL;NC;27514;;2018-12-25;6:12:00 PM;2018-12-25;6:12:00 PM;2018-12-25;6:12:00 PM;ABDUCTION/KIDNAPPING;;;;;;;;
142451;CHPD;CHILD ABDUCTED;351 S ESTES DR EXT;CHAPEL HILL;NC;27514;N;2017-04-02;9:59:00 PM;2017-04-02;9:54:00 PM;2017-04-02;9:59:00 PM;ABDUCTION/KIDNAPPING;HOME OF VICTIM - OTHER DWELLING;;;;;;;
146169;CHPD;CHILD ABDUCTED;101 RAIN TREE LN;CHAPEL HILL;NC;27516;;2017-07-02;10:15:00 AM;2017-07-02;10:14:00 AM;2017-07-02;10:15:00 AM;ABDUCTION/KIDNAPPING;OTHER RESIDENCE - SINGLE FAMILY DWELLING;;;;;;;
130782;CHPD;ABDUCTED KIDNAPPED;1100 NC 54;CHAPEL HILL;NC;27516;N;2016-07-20;8:40:00 PM;2016-07-20;8:20:00 PM;2016-07-20;8:30:00 PM;ABDUCTION/KIDNAPPING;HOME OF VICTIM - OTHER DWELLING;;;;;;;
114552;CHPD;ABDUCTED KIDNAPPED;506 W FRANKLIN ST;CHAPEL HILL;NC;27516;;2015-07-24;10:05:00 PM;2015-07-24;10:05:00 PM;2015-07-24;10:05:00 PM;ABDUCTION/KIDNAPPING;HIGHWAY/ROAD/STREET  ETC.;;;;;;;
146745;CHPD;ABDUCTED KIDNAPPED;600  GOMAINS AVE;CHAPEL HILL;NC;27514;Y;2017-07-15;3:15:00 PM;2017-07-15;2:00:00 PM;2017-07-15;3:15:00 PM;ABDUCTION/KIDNAPPING;HIGHWAY/ROAD/STREET  ETC.;;;;;;;
126491;CHPD;KIDNAPPING ABDUCTION;216 W FRANKLIN ST/MALLETTE ST;CHAPEL HILL;NC;27516;;2016-04-17;3:31:00 PM;2016-04-17;3:21:00 PM;2016-04-17;3:21:00 PM;ABDUCTION/KIDNAPPING;HIGHWAY/ROAD/STREET  ETC.;;;;;;;
146046;CHPD;ABDUCTION;130 S ESTES DR;CHAPEL HILL;NC;27514;N;2017-06-29;12:16:00 PM;2017-06-29;10:00:00 AM;2017-06-29;10:00:00 AM;ABDUCTION/KIDNAPPING;HOME OF VICTIM - OTHER DWELLING;;33;B;F;35.92756257;-79.03026422;35.92756257,-79.03026422
175230;CHPD;ABDUCTED;XX;CHAPEL HILL;NC;27514;;2019-10-03;6:40:00 PM;2019-10-03;6:35:00 PM;2019-10-03;6:40:00 PM;ABDUCTION/KIDNAPPING;;;;B;M;;;
146169;CHPD;ABDUCTED;101 RAIN TREE LN;CHAPEL HILL;NC;27516;;2017-07-02;10:15:00 AM;2017-07-02;10:14:00 AM;2017-07-02;10:15:00 AM;ABDUCTION/KIDNAPPING;OTHER RESIDENCE - SINGLE FAMILY DWELLING;;;;;;;
130782;CHPD;KIDNAP;1100 NC 54;CHAPEL HILL;NC;27516;N;2016-07-20;8:40:00 PM;2016-07-20;8:20:00 PM;2016-07-20;8:30:00 PM;ABDUCTION/KIDNAPPING;HOME OF VICTIM - OTHER DWELLING;;;;;;;
114552;CHPD;KIDNAP;506 W FRANKLIN ST;CHAPEL HILL;NC;27516;;2015-07-24;10:05:00 PM;2015-07-24;10:05:00 PM;2015-07-24;10:05:00 PM;ABDUCTION/KIDNAPPING;HIGHWAY/ROAD/STREET  ETC.;;;;;;;
146745;CHPD;KIDNAP;600  GOMAINS AVE;CHAPEL HILL;NC;27514;Y;2017-07-15;3:15:00 PM;2017-07-15;2:00:00 PM;2017-07-15;3:15:00 PM;ABDUCTION/KIDNAPPING;HIGHWAY/ROAD/STREET  ETC.;;;;;;;
126491;CHPD;KIDNAP;216 W FRANKLIN ST/MALLETTE ST;CHAPEL HILL;NC;27516;;2016-04-17;3:31:00 PM;2016-04-17;3:21:00 PM;2016-04-17;3:21:00 PM;ABDUCTION/KIDNAPPING;HIGHWAY/ROAD/STREET  ETC.;;;;;;;
146046;CHPD;KIDNAP;130 S ESTES DR;CHAPEL HILL;NC;27514;N;2017-06-29;12:16:00 PM;2017-06-29;10:00:00 AM;2017-06-29;10:00:00 AM;ABDUCTION/KIDNAPPING;HOME OF VICTIM - OTHER DWELLING;;33;B;F;35.92756257;-79.03026422;35.92756257,-79.03026422
175230;CHPD;KIDNAP;XX;CHAPEL HILL;NC;27514;;2019-10-03;6:40:00 PM;2019-10-03;6:35:00 PM;2019-10-03;6:40:00 PM;ABDUCTION/KIDNAPPING;;;;B;M;;;
146169;CHPD;ABDUCT;101 RAIN TREE LN;CHAPEL HILL;NC;27516;;2017-07-02;10:15:00 AM;2017-07-02;10:14:00 AM;2017-07-02;10:15:00 AM;ABDUCTION/KIDNAPPING;OTHER RESIDENCE - SINGLE FAMILY DWELLING;;;;;;;
130782;CHPD;ABDUCT;1100 NC 54;CHAPEL HILL;NC;27516;N;2016-07-20;8:40:00 PM;2016-07-20;8:20:00 PM;2016-07-20;8:30:00 PM;ABDUCTION/KIDNAPPING;HOME OF VICTIM - OTHER DWELLING;;;;;;;
114552;CHPD;ABDUCT;506 W FRANKLIN ST;CHAPEL HILL;NC;27516;;2015-07-24;10:05:00 PM;2015-07-24;10:05:00 PM;2015-07-24;10:05:00 PM;ABDUCTION/KIDNAPPING;HIGHWAY/ROAD/STREET  ETC.;;;;;;;
146745;CHPD;ABDUCT;600  GOMAINS AVE;CHAPEL HILL;NC;27514;Y;2017-07-15;3:15:00 PM;2017-07-15;2:00:00 PM;2017-07-15;3:15:00 PM;ABDUCTION/KIDNAPPING;HIGHWAY/ROAD/STREET  ETC.;;;;;;;
126491;CHPD;ABDUCT;216 W FRANKLIN ST/MALLETTE ST;CHAPEL HILL;NC;27516;;2016-04-17;3:31:00 PM;2016-04-17;3:21:00 PM;2016-04-17;3:21:00 PM;ABDUCTION/KIDNAPPING;HIGHWAY/ROAD/STREET  ETC.;;;;;;;
146046;CHPD;ABDUCT;130 S ESTES DR;CHAPEL HILL;NC;27514;N;2017-06-29;12:16:00 PM;2017-06-29;10:00:00 AM;2017-06-29;10:00:00 AM;ABDUCTION/KIDNAPPING;HOME OF VICTIM - OTHER DWELLING;;33;B;F;35.92756257;-79.03026422;35.92756257,-79.03026422
175230;CHPD;KIDNAP ABDUCT;XX;CHAPEL HILL;NC;27514;;2019-10-03;6:40:00 PM;2019-10-03;6:35:00 PM;2019-10-03;6:40:00 PM;ABDUCTION/KIDNAPPING;;;;B;M;;;
